Date;Sexe;Age;Rura;Card;Etud;pro;parent;parent2;Retraite;Regime_B;végétarien;diabétique;gluten;C_leg;C_frui;C_fec;C_lait;C_viaB;C_viaR;C_poi;C_indu;C_light;Pd_Frais;Crit_influe_C;Choix;Etiqt;Pub;5fj;5flj_p;reco;reco_P;A_patho;A_sante;Mangé_E;Repas;VF_Eq;VF_Su;VF_HO;VF_Fec;VF_soir;VF_saut;VF_Eq_Reg;VF_Eq_bon;VF_medi;pdp;modif;info;momnt;Qst;diét
2021-11-22 14:22:12.047;Homme;18-34;Citad;Sud;Bac+3;Profession libérale;;;;Non;False;False;False;5 x par semaine;5 x par semaine;A tous les repas;1 x par jour;3 x par semaine;3 x par semaine;1 x par semaine;5 x par semaine;3 x par semaine;Oui;Santé, Le prix;Je regarde l'étiquette nutritionelle;Nutriscore;Oui, Produits industriels (plat cuisiné, dessert, boisson sucré, biscuit apéritif ou sucré), Produit laitier;J'esaye d'appliquer;;Non;;Oui;Oui;Equilibrer legume proteine féculents ;Blanc de poulet epinard riz;Non;Oui;Oui;Non;Oui;Non;Non;Non;Oui;Suprimer les sodas;Oui les produits trop gras et trop sucrer pour perdre du poids ;Oui;Collège;"Oui ""es que ce que je mange est toujours équilibré ?""";Aucune idées 
2021-11-22 14:32:39.401;Homme;18-34;Citad;Sud;Bac+3;Salarié;;;;Non;False;False;False;1 x par semaine;Très rarement;5 x par semaine;3 x par semaine;3 x par semaine;3 x par semaine;Très rarement;1 x par jour;Très rarement;Non;Gout, Santé;Je regarde l'étiquette nutritionelle, Je regarde le prix;Nutri-score, acides gras saturés, sucres;Non;J'esaye d'appliquer;;Non;;Oui;Oui;Apporter tout les nutriments que notre corp réclame.;Les repas habituel que je mange ne sont pas équilibré je le sais. Mais si il faut repondre je dirai poulet ratatouille et un peu de riz 😁;Non;Oui;Oui;Non;Oui;Non;Non;Non;Oui;Coach sportif et Coach nutritionniste ;Non;Non;Collège;Non;Souvent les gens ne font pas le liens entre leur alimentation et leur problème. Enfin c'est ce que je pense. 
2021-11-22 14:37:40.044;Femme;18-34;Rural;Sud;Bac+3;Salarié;;;;Non;False;False;False;1 x par jour;Très rarement;1 x par jour;1 x par jour;Très rarement;1 x par semaine;Très rarement;3 x par semaine;Très rarement;Oui;Santé, Le prix;Je regarde le prix, Je regarde la provenance du produit;;Non;J'esaye d'appliquer;;Oui;Boire beaucoup d’eau ;Oui;Oui;Alimentation variée, pas trop grasse ;Viande ou poison avec des légumes et une cuillère de féculent ;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Je ne sais pas ;Non;Non;Lycée, Faculté;Non ;Ils ont besoin d’un suivi 
2021-11-22 14:38:05.319;Femme;18-34;Citad;Sud;Bac +5;Etudiant;Salarié;;;Non;False;False;False;A tous les repas;5 x par semaine;1 x par jour;A tous les repas;3 x par semaine;3 x par semaine;1 x par semaine;Très rarement;3 x par semaine;Non;Santé, Le prix;Je regarde le prix;;Oui, Produits industriels (plat cuisiné, dessert, boisson sucré, biscuit apéritif ou sucré), Produit laitier, Eau, viande, poisson frais, salade;Oui je connais, J'esaye d'appliquer;;Oui;Activité physique ;Oui;Oui;Manger de tout, poisson, viande, fruit et légume. Et pas trop de féculent. ;Riz avec viande et salade à côté. ;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Manger équilibrer en évitant tout ce qui est industriel et éviter les boissons ;Réduction autant que possible des sodas. Car trop de sucres ;Oui;Collège, Lycée;Comment manger équilibrer tout en variant les repas;Internet qui fait qu’on peut se renseigner par soi même. Trop cher 
2021-11-22 14:38:15.991;Femme;18-34;Citad;Sud;Bac +5;Etudiant;Salarié;;;Non;False;False;False;5 x par semaine;3 x par semaine;5 x par semaine;3 x par semaine;1 x par semaine;3 x par semaine;Très rarement;5 x par semaine;Jamais;Oui;Santé, Le prix;Je regarde le prix;;Oui, Produit laitier;Oui je connais, J'esaye d'appliquer;;Oui;2L d’eau par jour ;Oui;Oui;Balance entre féculents protéines ;Omelette son avoine + blanc de poulet ;Non;Non;Oui;Non;Oui;Non;Non;Non;Oui;Boire plus d’eau , éviter les produits transformés ;Non;Oui;Faculté;Non;Manque de temps, peu renseignés sur le sujet 
2021-11-22 14:39:37.053;Femme;18-34;Citad;Sud;Bac +5;Salarié;;;;Non;False;False;False;A tous les repas;5 x par semaine;5 x par semaine;5 x par semaine;5 x par semaine;5 x par semaine;5 x par semaine;5 x par semaine;5 x par semaine;Oui;Gout, Le prix;Je regarde le prix, Je regarde la provenance du produit;;Non;J'esaye d'appliquer;;Non;;Oui;Oui;Doser entre le gras , le salé et le sucré;Balc de poulet légume et pain ;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Diminue le grignotage;Non;Oui;Faculté;Non;L’avis d’un professionnel est meilleur 
2021-11-22 14:42:02.657;Femme;18-34;Citad;Sud;Bac+3;Salarié;;;;Non;False;False;False;3 x par semaine;3 x par semaine;5 x par semaine;1 x par semaine;1 x par semaine;3 x par semaine;1 x par semaine;1 x par jour;Très rarement;Oui;Gout, Le prix;Je regarde le prix;;Produits industriels (plat cuisiné, dessert, boisson sucré, biscuit apéritif ou sucré);Oui je connais;C'est compliqué;Non;;Oui;Oui;Ne pas manger trop de produits industriels et transformés, manger de tout en quantité raisonnable;Entrée, plat dessert avec des fruits et des légumes en évitant les produits gras;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Faire du sport pour avoir un déficit calorique et je couperait les grignotages;Ce que je mange avant de faire du sport pour mieux me sentir;Oui;Lycée;Non;Parce qu'ils ne se rendent pas forcément compte de leur problème ou ne savent pas aucun diététicien pourrait aider
2021-11-22 14:42:12.841;Femme;18-34;Rural;Sud;Bac+3;Salarié;;;;Non;False;False;False;1 x par jour;1 x par jour;A tous les repas;3 x par semaine;3 x par semaine;3 x par semaine;1 x par semaine;5 x par semaine;Très rarement;Oui;Gout, Santé;Je regarde la provenance du produit;;Non;Oui je connais, Je n'applique pas;;Non;;Oui;Oui;Manger des produits frais et de qualité ;Salade avec tomate et un feuilleté chèvre fait maison ;Oui;Oui;Oui;Non;Non;Non;Non;Non;Oui;Du sport avec un alimentation équilibre sans soda et friandises ;Non ;Oui;Faculté;Non ;Bonne question 
2021-11-22 14:43:49.812;Femme;18-34;Citad;Sud;Bac +5;Chomeur;;;;Non;False;False;False;3 x par semaine;Très rarement;A tous les repas;5 x par semaine;3 x par semaine;3 x par semaine;1 x par semaine;5 x par semaine;Jamais;Non;Aliment rassasiant, Le prix;Je me fie à l'attrait du marketing, Je regarde la provenance du produit;;Non;Oui je connais, J'esaye d'appliquer;Conservation+ temps préparation ;Non;;Oui;Oui;Local;Légumes viande ou poisson local;Oui;Oui;Oui;Non;Non;Non;Non;Non;Oui;Jeune ;Nutella : étique ;Oui;Collège, Faculté;Non;Peur
2021-11-22 14:45:12.511;Homme;18-34;Citad;Sud;Bac +5;Cadre;;;;Non;False;False;False;5 x par semaine;5 x par semaine;1 x par jour;1 x par jour;3 x par semaine;3 x par semaine;1 x par semaine;3 x par semaine;1 x par semaine;Oui;Gout, Le prix;Je regarde le prix;;Non;J'esaye d'appliquer;;Oui;Manger de tout en petite proportion ;Oui;Oui;Manger sain, pas trop gras et savoir se faire plaisir;Salade verte, viande rouges avec légumes, un petit fromage et un fruit (peu de pain;Non;Oui;Oui;Non;Oui;Non;Non;Non;Oui;Stopper les sucres ajoutés et faire du sport;Je mange des carottes pour être aimable;Oui;Faculté;Non;Peur de devoir respecter et pas pouvoir profiter de petits écarts 
2021-11-22 14:45:38.754;Homme;18-34;Citad;Sud;Bac+3;Etudiant;;;;Non;False;False;False;A tous les repas;A tous les repas;1 x par jour;1 x par jour;1 x par jour;1 x par jour;3 x par semaine;5 x par semaine;Jamais;Oui;Santé, Le prix;Je regarde l'étiquette nutritionelle;Protéine ;Non;Oui je connais;;Non;;Oui;Oui;Un bon apport protéique ;Steak riz haricot vert;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Retirer le repas du petit déjeuner;Augmentation d'apport protéique pour la musculation;Oui;Collège, Lycée;Non ;C'est onéreux
2021-11-22 14:54:29.993;Homme;18-34;Citad;Sud;Bac+3;Salarié;;;;Non;False;False;False;5 x par semaine;5 x par semaine;5 x par semaine;Très rarement;3 x par semaine;5 x par semaine;1 x par semaine;Jamais;Très rarement;Oui;Gout, Santé;Je me fie à l'attrait du marketing, Je regarde le prix;Matière grasse ;Non;Oui je connais, Je n'applique pas;Bof;Oui;Manger bouger, 30min de sport par jour ;Oui;Oui;. ;. ;Non;Oui;Non;Non;Oui;Non;Oui;Non;Non;Sport ;Ne pas manger gras, sucré. Petite quantité. ;Oui;Collège;Non;Prix 
2021-11-22 14:55:58.282;Homme;18-34;Citad;Sud;Bac+3;Profession libérale;;;;Non;False;False;False;3 x par semaine;1 x par semaine;3 x par semaine;3 x par semaine;1 x par semaine;1 x par semaine;Très rarement;5 x par semaine;Très rarement;Non;Gout;Je regarde le prix;;Non;Oui je connais, Je n'applique pas;Je ne suis pas sérieux;Oui;Consommer de l'alcool avec modération/ OU /Évitez les produits ultra transformés;Oui;Oui;Varier les plats et leur composition, avec une bonne proportion des groupe de la pyramide alimentaire. Prendre 3 repas par jour. Ne pas se priver mais manger de tout régulièrement;Petite salade composée (tomates, salade, concombre, fromage) + riz escalope de dinde assaisonnement avec épices + Yaourt ou fromage;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Rester actif (marcher, bouger, faire un peu de sport) et ne pas rester allongé à rien faire.;Les légumineuses selon mon transit;Oui;Collège;Comment me réguler sans trop d'efforts;Le coût du professionnel et le déni de reconnaître qu'on a un problème.
2021-11-22 14:56:42.609;Femme;18-34;Citad;Sud;Bac;Salarié;;;;Non;False;False;False;3 x par semaine;A tous les repas;3 x par semaine;Très rarement;Très rarement;Très rarement;Jamais;5 x par semaine;1 x par semaine;Non;Gout, Le prix;Je regarde l'étiquette nutritionelle, Je regarde le prix;Le nombre de calories, graisse et sucre et le nutriscore;Non;Oui je connais, Je n'applique pas;Manque de temps et prix trop élevés ...;Non;;Oui;Oui;Apporter ce dont le corps a besoin, sans trop de produits nocifs;Salsifis + petit paquet de chips et en dessert fruits;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Je réduirai le sucre ;Diminution de la viande rouge;Oui;Collège, Lycée;Non;Parce qu'ils ne sont pas prêts à se faire conseiller ou remettre en question leurs habitudes alimentaires
2021-11-22 14:58:03.109;Femme;18-34;Rural;Nord;Bac +5;Salarié;;;;Non;False;False;False;A tous les repas;1 x par jour;A tous les repas;1 x par jour;Très rarement;3 x par semaine;1 x par semaine;Très rarement;Jamais;Oui;Gout, Santé;Je regarde l'étiquette nutritionelle;Calories, teneur en protéines, lipides et glucides;Non;Oui je connais, J'esaye d'appliquer;;Oui;Eviter les plats trop gras, trop sucrés, trop salés;Oui;Oui;Manger de tout, dans des quantités raisonnables, ne rien diaboliser.;Butternut rotie au four, champignons, pâtes complètes, omelette;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Je créerai progressivement un léger déficit calorique;Je ne modifie rien, mon alimentation me convient.;Oui;Collège, Lycée;Est ce que mes apports en protéines sont sufisants par rapport à mon activité sportive (musculation).;Par manque de réelle envie, par peur que le diétiticien leur demande de faire un régime (méconnaissance de la profession), par peur du coût pas encore pris en charge par la sécu
2021-11-22 14:58:43.518;Femme;18-34;Rural;Nord;Bac;Chomeur;;;;Non;False;False;False;5 x par semaine;5 x par semaine;1 x par jour;A tous les repas;5 x par semaine;5 x par semaine;5 x par semaine;5 x par semaine;1 x par jour;Oui;Gout;Je regarde le prix;Les glucides ;Non;Oui je connais, J'esaye d'appliquer;;Oui;Ne pas manger trop gras, trop sucré, trop salé;Oui;Oui;Éviter la viande rouge et les féculents me soir par exemple ; Souvent le soir : poisson avec haricot vert ou légumineuses avec quelque fois un yaourt à la fin du repas. ;Non;Oui;Non;Oui;Oui;Non;Non;Non;Oui;Améliorer mon alimentation et me mettre au sport régulièrement ;Quand je fais des gâteaux pas exemple je ne met pas autant de sucre que le préconise la recette ou dans le thé par exemple je ne met plus de sucre ;Non;Collège, Lycée, Faculté, Milieu professionel;Est ce que je mange en trop grande quantité ;Peut être parcqu'ils se disent que ça que les changements seront difficile à mettre en place et que ça ne durera pas sur le long terme 
2021-11-22 15:01:52.258;Femme;18-34;Citad;Sud;Bac +5;Profession libérale;;;;Non;False;False;False;3 x par semaine;Très rarement;5 x par semaine;A tous les repas;3 x par semaine;1 x par semaine;Très rarement;1 x par jour;Jamais;Non;Gout, Le prix;Je regarde le prix;;Non;Oui je connais, Je n'applique pas;Je n'aime pas suffisamment les fruits et légumes pour ça;Non;;Oui;Oui;Manger pas trop gras, pas trop sucrée, pas trop salée et mangé de manière varier;riz saumon, yaourt;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Faire du sport;Souvent pour des questions de gouts;Non;Faculté;aucunes;Parce que tout les gens n'ont pas un bon sens 
2021-11-22 15:05:34.759;Homme;18-34;Citad;Sud;Brevet;Salarié;;;;Non;False;False;False;1 x par semaine;Très rarement;5 x par semaine;5 x par semaine;5 x par semaine;3 x par semaine;Jamais;3 x par semaine;Jamais;Non;Le prix;Je me fie à l'attrait du marketing;;Non;Oui je connais, Je n'applique pas;;Non;;Non;Oui;Légumes;Steak frite;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Je sais pas;Non;Non;Lycée;Non;Le prix 
2021-11-22 15:09:47.832;Femme;18-34;Citad;Sud;Bac;Artisan;;;;Non;False;False;False;1 x par jour;1 x par semaine;A tous les repas;Très rarement;3 x par semaine;1 x par semaine;3 x par semaine;Très rarement;Très rarement;Oui;Gout;Je regarde l'étiquette nutritionelle;Sucre/ glucides/ protéines/ graisses ajoutées ;Non;J'esaye d'appliquer;Trop cher ;Non;;Oui;Oui;Mélanger légumes, féculents et un peu de lipides;Pâtes complètes/riz, légumes vapeur/ salades, proteines(blanc de dinde ou substitut) ;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Oui;Du sport/ alimentation ;J’essaie d’acheter local;Oui;Collège;D’où ça vient ? Transport/ impact sur l’écologie/ prix/ qualité ;Trop cher/ ?destiné à une personne en surproids ?
2021-11-22 15:12:34.538;Femme;18-34;Citad;Sud;Bac +5;Etudiant;Cadre;;;Non;False;False;False;A tous les repas;1 x par jour;A tous les repas;1 x par jour;1 x par semaine;1 x par semaine;3 x par semaine;5 x par semaine;Très rarement;Oui;Gout, Santé;Je regarde le prix, Je regarde la provenance du produit;;Non;Oui je connais, J'esaye d'appliquer;;Oui;Manger, bouger / alcool pas tous les jours;Oui;Oui;Manger diversifié, sans se restreindre et se faire plaisir;Riz saumon poêlée de légumes avec compote ;Oui;Non;Oui;Non;Oui;Non;Non;Non;Oui;Faire du sport et manger moins de chocolat;Pas vraiment ;Non;Collège, Lycée, Faculté, Milieu professionel;Pas spécialement ;Parce que non remboursé, puis les gens ne connaissent pas vraiment cette profession, on en parle peu
2021-11-22 15:13:18.311;Femme;18-34;Citad;Sud;Brevet;Salarié;;;;Non;False;False;False;1 x par semaine;1 x par jour;1 x par jour;1 x par semaine;3 x par semaine;1 x par semaine;1 x par semaine;Très rarement;Très rarement;Oui;Gout, Le prix;Je regarde l'étiquette nutritionelle, Je regarde le prix;;Oui, Produit laitier;Oui je connais, Je n'applique pas;;Non;;Oui;Oui;Manger de tous ;Poisons  légumes  vapeur ;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Du sports ;Non ;Non;Milieu professionel;Non;Le prix le temps  
2021-11-22 15:13:35.607;Homme;18-34;Citad;Sud;Bac+3;Etudiant;Retraité;;;Non;False;False;False;5 x par semaine;1 x par jour;1 x par jour;1 x par jour;5 x par semaine;1 x par semaine;3 x par semaine;3 x par semaine;Très rarement;Oui;Gout, Santé;Je regarde le prix;;Non;Oui je connais, J'esaye d'appliquer;;Oui;Limiter la consommation de sucre raffiné ;Oui;Oui;Avoir un apport nutritionnel suffisant pour subvenir aux besoins de l’organisme durant la journée ;Haricots verts, champignons, blanc de volaille ;Non;Oui;Non;Non;Non;Non;Non;Non;Oui;Manger moins durant la journée (reduire l’apport calorique et arrêter de grignoter aussi ça serait cool) ;Réduire le sucre raffiné (gâteaux pâtisseries bonbons) et privilégier le sucre présent naturellement dans les fruits par exemple dans le but de vivre en meilleure santé a long terme  ;Oui;Lycée;Aucune ;Par manque d’informations et sûrement par manque d’argent 
2021-11-22 15:13:54.756;Femme;18-34;Rural;Nord;Bac+3;Etudiant;;;;Non;False;False;False;A tous les repas;1 x par jour;1 x par jour;1 x par jour;3 x par semaine;1 x par semaine;1 x par semaine;1 x par semaine;Très rarement;Oui;Santé;Je regarde le prix;;Non;Oui je connais, J'esaye d'appliquer;;Oui;Produit laitier;Oui;Oui;Varier;Crudités, legume cuit-feculent-viande ou oeuf, laitage;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Pas de desserts cuisines;Plus de fer si bsn;Non;Collège;Non;Marre de l'assistanat
2021-11-22 15:14:40.999;Femme;18-34;Citad;Sud;Bac +5;Etudiant;Cadre;Chomeur;;Non;False;False;False;A tous les repas;5 x par semaine;1 x par jour;A tous les repas;1 x par semaine;Très rarement;Très rarement;1 x par semaine;Très rarement;Oui;Gout;Je regarde le prix, Je regarde la provenance du produit;;Non;Oui je connais, J'esaye d'appliquer;J'essaye de m'en approcher au maximum mais je ne l'applique pas tous les jours;Oui;"au moins 1.5L d'eau par jour, lait et produits laitiers 2 à 4 parts/j; viandes oeufs et poisson 1 part/j; fécultent à chaque repas";Oui;Oui;Manger de tout en quantité raisonnable et raisonné, que ce soit des fruits et légumes ou autres catégories d'aliment. ;Un cordon bleu + pâtes + haricots verts + yaourt et clémentine en dessert;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Faire du sport ;Je suis souvent carencée en fer donc dans ces moments là je mange + de viande rouge et à l'approche des règles ou durant les règles.;Non;Collège, Lycée;J'ai déjà eu pas mal de réponses avec des cours dessus;Parce qu'ils pensent qu'ils vont devoir se priver de pleins de choses et que cela va être compliqué. 
2021-11-22 15:16:21.767;Homme;18-34;Rural;Sud;Bac;Salarié;;;;Non;False;False;False;A tous les repas;A tous les repas;A tous les repas;A tous les repas;3 x par semaine;3 x par semaine;3 x par semaine;Très rarement;Très rarement;Oui;Gout, Le prix;Je regarde le prix, Je regarde la provenance du produit;Calorie ;Autres;Oui je connais, J'esaye d'appliquer;;Non;;Oui;Oui;La santé ;Viande blanches légumes ;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Du sport ;Le sport ;Oui;Collège, Lycée, Faculté, Milieu professionel;Non;Ils n’ont pas forcément le temps 
2021-11-22 15:19:07.302;Homme;18-34;Citad;Sud;Brevet;Salarié;;;;Oui;False;False;False;A tous les repas;1 x par jour;1 x par jour;1 x par jour;1 x par jour;1 x par jour;5 x par semaine;A tous les repas;A tous les repas;Oui;Santé;Je regarde la provenance du produit;;Oui, Produits industriels (plat cuisiné, dessert, boisson sucré, biscuit apéritif ou sucré), Eau, viande, poisson frais, salade;Oui je connais, J'esaye d'appliquer;;Non;;Oui;Oui;manger sain ;pates viande legumes ;Non;Non;Oui;Non;Non;Oui;Non;Non;Oui;du sport;les aliments pas sain ,pour prendre du poids;Oui;Collège;non aucune;car cest trop dure pour eux
